Propagation Factor vs Range (Altitude=600.00 m)

Range(km)			Propagation Factor(dB)

0.000000			-Inf
0.200000			-108.843856
0.400000			-99.766921
0.600000			-94.410106
0.800000			-90.562204
1.000000			-87.530462
1.200000			-85.005581
1.400000			-82.822043
1.600000			-80.881025
1.800000			-79.118834
2.000000			-77.491688
2.200000			-75.967780
2.400000			-74.523086
2.600000			-73.138977
2.800000			-71.800607
3.000000			-70.495681
3.200000			-69.213615
3.400000			-67.945055
3.600000			-66.681583
3.800000			-65.415448
4.000000			-64.139289
4.200000			-62.845930
4.400000			-61.528297
4.600000			-60.179396
4.800000			-58.792334
5.000000			-57.360384
5.200000			-55.877156
5.400000			-54.336914
5.600000			-52.735021
5.800000			-51.068461
6.000000			-49.336397
6.200000			-47.540694
6.400000			-45.686287
6.600000			-43.781305
6.800000			-41.836890
7.000000			-39.866733
7.200000			-37.886409
7.400000			-35.912640
7.600000			-33.962579
7.800000			-32.053210
8.000000			-30.200891
8.200000			-28.421030
8.400000			-26.727879
8.600000			-25.134389
8.800000			-23.652067
9.000000			-22.290794
9.200000			-21.058507
9.400000			-19.960702
9.600000			-18.999654
9.800000			-18.173324
10.000000			-17.473964
10.200000			-16.886712
10.400000			-16.388850
10.600000			-15.950953
10.800000			-15.541262
11.000000			-15.133332
11.200000			-14.714172
11.400000			-14.287866
11.600000			-13.871396
11.800000			-13.484531
12.000000			-13.139220
12.200000			-12.833387
12.400000			-12.551685
12.600000			-12.273287
12.800000			-11.983463
13.000000			-11.682062
13.200000			-11.382542
13.400000			-11.101853
13.600000			-10.848407
13.800000			-10.616162
14.000000			-10.388642
14.200000			-10.150666
14.400000			-9.899619
14.600000			-9.647033
14.800000			-9.408795
15.000000			-9.192095
15.200000			-8.989514
15.400000			-8.784932
15.600000			-8.567016
15.800000			-8.339019
16.000000			-8.115711
16.200000			-7.910008
16.400000			-7.721387
16.600000			-7.536234
16.800000			-7.340158
17.000000			-7.131539
17.200000			-6.923146
17.400000			-6.729862
17.600000			-6.554418
17.800000			-6.384665
18.000000			-6.205215
18.200000			-6.012793
18.400000			-5.819737
18.600000			-5.641594
18.800000			-5.481446
19.000000			-5.326652
19.200000			-5.161526
19.400000			-4.983734
19.600000			-4.807005
19.800000			-4.646789
20.000000			-4.504038
20.200000			-4.365651
20.400000			-4.215776
20.600000			-4.048024
20.800000			-3.878286
21.000000			-3.750752
21.200000			-3.628437
21.400000			-3.502411
21.600000			-3.359498
21.800000			-3.189010
22.000000			-3.051415
22.200000			-2.945717
22.400000			-2.864424
22.600000			-2.767203
22.800000			-2.557469
23.000000			-2.408362
23.200000			-2.353803
23.400000			-2.252617
23.600000			-2.176417
23.800000			-2.138287
24.000000			-1.915635
24.200000			-1.565682
24.400000			-1.426849
24.600000			-1.784100
24.800000			-2.316845
25.000000			-2.227366
25.200000			-1.239164
25.400000			0.053387
25.600000			0.990786
25.800000			1.309955
26.000000			0.971602
26.200000			0.040556
26.400000			-1.329477
26.600000			-2.861245
26.800000			-4.208778
27.000000			-5.174573
27.200000			-5.813990
27.400000			-6.261241
27.600000			-6.630914
27.800000			-7.063287
28.000000			-7.682015
28.200000			-8.460930
28.400000			-9.169694
28.600000			-9.587971
28.800000			-9.825624
29.000000			-10.186231
29.200000			-10.783467
29.400000			-11.415180
29.600000			-11.796578
29.800000			-11.969334
30.000000			-12.230154
30.200000			-12.697643
30.400000			-13.170380
30.600000			-13.407773
30.800000			-13.511168
31.000000			-13.765129
31.200000			-14.218134
31.400000			-14.605432
31.600000			-14.718929
31.800000			-14.757416
32.000000			-15.020262
32.200000			-15.479343
32.400000			-15.787721
32.600000			-15.777632
32.800000			-15.761954
33.000000			-16.053445
33.200000			-16.535948
33.400000			-16.767683
33.600000			-16.635323
33.800000			-16.577592
34.000000			-16.916037
34.200000			-17.438529
34.400000			-17.597529
34.600000			-17.346402
34.800000			-17.254618
35.000000			-17.645873
35.200000			-18.209689
35.400000			-18.295569
35.600000			-17.940514
35.800000			-17.837139
36.000000			-18.298801
36.200000			-18.906757
36.400000			-18.901804
36.600000			-18.433702
36.800000			-18.322710
37.000000			-18.863276
37.200000			-19.521646
37.400000			-19.424067
37.600000			-18.850445
37.800000			-18.744251
38.000000			-19.376271
38.200000			-20.091411
38.400000			-19.892015
38.600000			-19.211341
38.800000			-19.114812
39.000000			-19.845879
39.200000			-20.621599
39.400000			-20.309602
39.600000			-19.519900
39.800000			-19.436784
40.000000			-20.275937
40.200000			-21.122500
40.400000			-20.688011
40.600000			-19.778010
40.800000			-19.695797
41.000000			-20.636269
41.200000			-21.577944
41.400000			-21.060706
41.600000			-20.050556
41.800000			-19.962202
42.000000			-20.970674
42.200000			-21.959506
42.400000			-21.354730
42.600000			-20.279101
42.800000			-20.208726
43.000000			-21.285923
43.200000			-22.294239
43.400000			-21.594278
43.600000			-20.487988
43.800000			-20.481181
44.000000			-21.676777
44.200000			-22.700441
44.400000			-21.818231
44.600000			-20.632292
44.800000			-20.675708
45.000000			-21.999255
45.200000			-23.049956
45.400000			-21.961360
45.600000			-20.668578
45.800000			-20.742699
46.000000			-22.242541
46.200000			-23.547850
46.400000			-22.364403
46.600000			-20.879903
46.800000			-20.832682
47.000000			-22.268450
47.200000			-23.683930
47.400000			-22.725863
47.600000			-21.332278
47.800000			-21.329726
48.000000			-22.737960
48.200000			-23.810917
48.400000			-22.524836
48.600000			-21.138357
48.800000			-21.232583
49.000000			-22.832898
49.200000			-24.275446
49.400000			-23.112202
49.600000			-21.655951
49.800000			-21.687297
50.000000			-23.129958
