Propagation Factor vs Range (Altitude=150.00 m)

Range(km)			Propagation Factor(dB)

0.000000			-Inf
0.200000			-281.086442
0.400000			-244.517050
0.600000			-231.589050
0.800000			-220.160301
1.000000			-191.989718
1.200000			-129.340010
1.400000			-96.264249
1.600000			-74.794889
1.800000			-57.990912
2.000000			-49.191351
2.200000			-37.695424
2.400000			-31.080595
2.600000			-25.657024
2.800000			-22.007971
3.000000			-25.084582
3.200000			-16.666074
3.400000			-14.962697
3.600000			-13.182197
3.800000			-13.325329
4.000000			-7.641246
4.200000			-18.309885
4.400000			-7.155704
4.600000			-4.267097
4.800000			-9.794092
5.000000			-11.517635
5.200000			-2.895802
5.400000			-1.304134
5.600000			-3.721065
5.800000			-14.101128
6.000000			-7.980761
6.200000			-1.298303
6.400000			1.016282
6.600000			1.203223
6.800000			-0.929596
7.000000			-5.011751
7.200000			-15.775829
7.400000			-8.300832
7.600000			-1.480140
7.800000			1.035507
8.000000			2.967282
8.200000			3.736892
8.400000			3.259782
8.600000			1.860456
8.800000			0.427281
9.000000			-2.302955
9.200000			-8.282430
9.400000			-20.330177
9.600000			-7.855095
9.800000			-2.584333
10.000000			0.158233
10.200000			2.101184
10.400000			3.425531
10.600000			4.265567
10.800000			4.992379
11.000000			5.079497
11.200000			5.200236
11.400000			5.080529
11.600000			4.337857
11.800000			3.957303
12.000000			2.869289
12.200000			1.479620
12.400000			-0.589823
12.600000			-2.800602
12.800000			-4.177494
13.000000			-10.907129
13.200000			-17.159794
13.400000			-12.698041
13.600000			-6.157035
13.800000			-4.463440
14.000000			-2.007422
14.200000			-0.930915
14.400000			1.813178
14.600000			3.876848
14.800000			4.640594
15.000000			4.910556
15.200000			5.133140
15.400000			5.064291
15.600000			5.432883
15.800000			6.105293
16.000000			6.014489
16.200000			7.766137
16.400000			7.781078
16.600000			6.839193
16.800000			7.975138
17.000000			8.743269
17.200000			7.228598
17.400000			5.139895
17.600000			5.641536
17.800000			6.851072
18.000000			6.322055
18.200000			4.186905
18.400000			1.425321
18.600000			1.964442
18.800000			4.185370
19.000000			5.659798
19.200000			5.765963
19.400000			4.944173
19.600000			3.414756
19.800000			1.220978
20.000000			-1.297750
20.200000			-2.677390
20.400000			-2.462036
20.600000			-1.483278
20.800000			-1.345174
21.000000			-2.052660
21.200000			-2.775133
21.400000			-5.038659
21.600000			-7.075568
21.800000			-5.994363
22.000000			-3.820434
22.200000			-1.197519
22.400000			1.210099
22.600000			2.837369
22.800000			4.498614
23.000000			5.708662
23.200000			6.636156
23.400000			7.098955
23.600000			7.537856
23.800000			8.574703
24.000000			7.876692
24.200000			7.966296
24.400000			9.604325
24.600000			9.815573
24.800000			8.937310
25.000000			8.348176
25.200000			8.760259
25.400000			9.586698
25.600000			10.139042
25.800000			10.335045
26.000000			10.237533
26.200000			9.915359
26.400000			9.447097
26.600000			8.900139
26.800000			8.307433
27.000000			7.692205
27.200000			7.068641
27.400000			6.452955
27.600000			5.855918
27.800000			5.278618
28.000000			4.724765
28.200000			4.192186
28.400000			3.677568
28.600000			3.179618
28.800000			2.696671
29.000000			2.226694
29.200000			1.765357
29.400000			1.312162
29.600000			0.864045
29.800000			0.425717
30.000000			-0.018634
30.200000			-0.458175
30.400000			-0.902452
30.600000			-1.342102
30.800000			-1.791588
31.000000			-2.228085
31.200000			-2.677578
31.400000			-3.130693
31.600000			-3.575560
31.800000			-4.034119
32.000000			-4.480262
32.200000			-4.928839
32.400000			-5.369040
32.600000			-5.827670
32.800000			-6.263674
33.000000			-6.688861
33.200000			-7.101167
33.400000			-7.521472
33.600000			-7.929636
33.800000			-8.344426
34.000000			-8.753618
34.200000			-9.165077
34.400000			-9.551025
34.600000			-9.924241
34.800000			-10.312921
35.000000			-10.700553
35.200000			-11.059536
35.400000			-11.439697
35.600000			-11.857401
35.800000			-12.258572
36.000000			-12.600068
36.200000			-12.930037
36.400000			-13.253973
36.600000			-13.638127
36.800000			-14.060407
37.000000			-14.410949
37.200000			-14.786329
37.400000			-15.091167
37.600000			-15.235043
37.800000			-15.548728
38.000000			-16.073670
38.200000			-16.357643
38.400000			-16.503957
38.600000			-16.734437
38.800000			-17.106202
39.000000			-17.432775
39.200000			-17.791054
39.400000			-18.146443
39.600000			-18.650737
39.800000			-18.858870
40.000000			-18.964894
40.200000			-19.201609
40.400000			-19.515214
40.600000			-19.564135
40.800000			-19.703253
41.000000			-18.800828
41.200000			-19.865872
41.400000			-23.325882
41.600000			-24.377634
41.800000			-24.241694
42.000000			-30.677736
42.200000			-24.984053
42.400000			-17.651191
42.600000			-30.056697
42.800000			-23.703020
43.000000			-21.388885
43.200000			-20.868349
43.400000			-20.242289
43.600000			-21.078861
43.800000			-26.920719
44.000000			-22.341180
44.200000			-24.343407
44.400000			-29.708587
44.600000			-25.279598
44.800000			-23.801481
45.000000			-28.975485
45.200000			-28.032247
45.400000			-26.873721
45.600000			-26.501880
45.800000			-26.388191
46.000000			-27.159999
46.200000			-26.920007
46.400000			-27.845088
46.600000			-28.883019
46.800000			-29.755704
47.000000			-28.578158
47.200000			-29.647829
47.400000			-30.489823
47.600000			-30.277520
47.800000			-29.161672
48.000000			-30.176684
48.200000			-31.101228
48.400000			-32.093092
48.600000			-32.806694
48.800000			-33.096536
49.000000			-33.427701
49.200000			-33.671228
49.400000			-33.904279
49.600000			-34.126369
49.800000			-34.362262
50.000000			-34.610474
